t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1785820923.591,0.000,WAIT,idle,-1,0,-0.001,-0.052,-0.000,-0.005,0.002,-0.004,1.5447
1785820923.691,0.000,WAIT,idle,-1,0,-0.001,-0.052,-0.001,-0.004,0.001,-0.004,1.5447
1785820923.791,0.000,WAIT,idle,-1,0,-0.000,-0.052,-0.001,-0.003,-0.001,-0.002,1.5449
1785820923.891,0.000,WAIT,idle,-1,0,0.000,-0.052,-0.001,-0.003,-0.001,-0.003,1.5448
1785820923.991,0.000,WAIT,idle,-1,0,0.000,-0.052,-0.000,-0.006,0.000,-0.000,1.5447
1785820924.091,0.000,WAIT,idle,-1,0,0.000,-0.052,0.000,-0.006,0.003,0.001,1.5447
1785820924.191,0.000,WAIT,idle,-1,0,0.000,-0.051,0.001,-0.005,0.005,0.004,1.5447
1785820924.291,0.000,WAIT,idle,-1,0,0.001,-0.050,0.002,-0.006,0.006,0.004,1.5445
1785820924.391,0.000,WAIT,idle,-1,0,0.001,-0.049,0.002,-0.006,0.008,0.002,1.5444
1785820924.491,0.000,WAIT,idle,-1,0,0.001,-0.048,0.002,-0.008,0.006,0.004,1.5443
1785820924.591,0.000,WAIT,idle,-1,0,0.001,-0.048,0.003,-0.009,0.005,0.009,1.5442
1785820924.691,0.000,WAIT,idle,-1,0,0.001,-0.048,0.004,-0.009,0.004,0.007,1.5442
1785820924.791,0.000,WAIT,idle,-1,0,0.001,-0.048,0.004,-0.010,0.004,0.008,1.5444
1785820924.891,0.000,WAIT,idle,-1,0,0.001,-0.048,0.005,-0.011,0.003,0.009,1.5444
1785820924.991,0.000,WAIT,idle,-1,0,0.001,-0.048,0.006,-0.011,0.005,0.009,1.5445
1785820925.091,0.000,WAIT,idle,-1,0,0.001,-0.048,0.007,-0.010,0.005,0.009,1.5446
1785820925.191,0.000,WAIT,idle,-1,0,0.002,-0.048,0.008,-0.009,0.005,0.009,1.5446
1785820925.291,0.000,WAIT,idle,-1,0,0.002,-0.048,0.008,-0.010,0.004,0.009,1.5445
1785820925.391,0.000,WAIT,idle,-1,0,0.002,-0.048,0.009,-0.006,0.002,0.010,1.5445
1785820925.491,0.000,WAIT,idle,-1,0,0.002,-0.049,0.010,-0.007,0.001,0.011,1.5444
1785820925.591,0.000,WAIT,idle,-1,0,0.002,-0.049,0.011,-0.005,-0.001,0.010,1.5442
1785820925.691,0.000,WAIT,idle,-1,0,0.003,-0.050,0.011,-0.004,-0.002,0.009,1.5443
1785820925.791,0.000,WAIT,idle,-1,0,0.003,-0.051,0.012,-0.003,-0.001,0.008,1.5443
1785820925.891,0.000,WAIT,idle,-1,0,0.003,-0.051,0.012,-0.002,-0.000,0.009,1.5441
1785820925.991,0.000,WAIT,idle,-1,0,0.003,-0.051,0.013,-0.000,0.001,0.006,1.5439
1785820926.091,0.000,WAIT,idle,-1,0,0.003,-0.051,0.013,0.001,0.001,0.007,1.5441
1785820926.191,0.000,WAIT,idle,-1,0,0.004,-0.051,0.012,0.003,-0.001,0.008,1.5441
1785820926.291,0.000,WAIT,idle,-1,0,0.005,-0.051,0.012,0.005,-0.001,0.007,1.5443
1785820926.391,0.000,WAIT,idle,-1,0,0.006,-0.051,0.012,0.003,-0.001,0.005,1.5443
1785820926.491,0.000,WAIT,idle,-1,0,0.006,-0.051,0.011,0.002,-0.003,0.005,1.5444
1785820926.591,0.000,WAIT,idle,-1,0,0.006,-0.052,0.011,0.002,-0.002,0.004,1.5447
1785820926.691,0.000,WAIT,idle,-1,0,0.006,-0.052,0.010,0.003,-0.001,0.003,1.5447
1785820926.791,0.000,WAIT,idle,-1,0,0.006,-0.052,0.009,0.004,-0.001,0.001,1.5447
1785820926.891,0.000,WAIT,idle,-1,0,0.007,-0.052,0.008,0.002,-0.003,-0.001,1.5445
1785820926.991,0.000,WAIT,idle,-1,0,0.007,-0.052,0.007,0.002,-0.002,-0.001,1.5444
1785820927.091,0.000,WAIT,idle,-1,0,0.006,-0.052,0.007,0.002,-0.003,-0.002,1.5442
1785820927.191,0.000,WAIT,idle,-1,0,0.006,-0.053,0.006,0.001,-0.006,-0.003,1.5442
1785820927.291,0.000,WAIT,idle,-1,0,0.006,-0.053,0.006,0.000,-0.006,-0.003,1.5443
1785820927.391,0.000,WAIT,idle,-1,0,0.005,-0.054,0.006,-0.001,-0.005,-0.001,1.5444
1785820927.491,0.000,WAIT,idle,-1,0,0.005,-0.054,0.006,0.000,-0.005,0.001,1.5446
1785820927.591,0.000,WAIT,idle,-1,0,0.004,-0.054,0.006,0.002,-0.004,-0.001,1.5448
1785820927.691,0.000,WAIT,idle,-1,0,0.004,-0.054,0.007,0.000,-0.003,0.001,1.5450
1785820927.791,0.000,WAIT,idle,-1,0,0.004,-0.053,0.007,-0.002,-0.001,0.001,1.5450
1785820927.891,0.000,WAIT,idle,-1,0,0.004,-0.053,0.007,-0.003,-0.001,-0.002,1.5448
1785820927.991,0.000,WAIT,idle,-1,0,0.003,-0.053,0.007,-0.003,0.001,-0.001,1.5448
1785820928.091,0.000,WAIT,idle,-1,0,0.003,-0.052,0.006,-0.003,0.002,-0.002,1.5447
1785820928.191,0.000,WAIT,idle,-1,0,0.003,-0.052,0.006,-0.002,0.002,-0.002,1.5446
1785820928.291,0.000,WAIT,idle,-1,0,0.003,-0.052,0.006,-0.004,0.002,-0.001,1.5446
1785820928.391,0.000,WAIT,idle,-1,0,0.003,-0.051,0.006,-0.001,0.004,0.000,1.5448
1785820928.491,0.000,WAIT,idle,-1,0,0.004,-0.051,0.006,-0.001,0.004,0.001,1.5447
1785820928.591,0.000,WAIT,idle,-1,0,0.004,-0.051,0.005,0.001,0.002,0.001,1.5447
1785820928.691,0.000,WAIT,idle,-1,0,0.004,-0.052,0.005,0.000,0.002,0.002,1.5446
1785820928.791,0.000,WAIT,idle,-1,0,0.004,-0.052,0.005,-0.001,0.003,0.001,1.5444
1785820928.891,0.000,WAIT,idle,-1,0,0.004,-0.052,0.006,-0.000,0.003,0.001,1.5443
1785820928.991,0.000,WAIT,idle,-1,0,0.004,-0.052,0.006,0.001,0.004,0.002,1.5444
1785820929.091,0.000,WAIT,idle,-1,0,0.005,-0.052,0.006,0.000,0.006,0.001,1.5444
1785820929.191,0.000,WAIT,idle,-1,0,0.005,-0.052,0.006,0.000,0.004,-0.000,1.5446
1785820929.291,0.000,WAIT,idle,-1,0,0.005,-0.052,0.006,-0.000,0.003,0.000,1.5444
1785820929.391,0.000,WAIT,idle,-1,0,0.005,-0.052,0.006,-0.003,0.004,-0.000,1.5445
1785820929.491,0.000,WAIT,idle,-1,0,0.005,-0.052,0.006,-0.005,0.004,0.000,1.5444
1785820929.591,0.000,WAIT,idle,-1,0,0.004,-0.052,0.006,-0.003,0.002,-0.004,1.5443
1785820929.691,0.000,WAIT,idle,-1,0,0.004,-0.052,0.005,-0.003,0.001,-0.002,1.5443
1785820929.791,0.000,WAIT,idle,-1,0,0.004,-0.053,0.005,-0.004,0.000,-0.004,1.5442
1785820929.891,0.000,WAIT,idle,-1,0,0.003,-0.053,0.004,-0.004,0.002,-0.004,1.5441
1785820929.991,0.000,WAIT,idle,-1,0,0.003,-0.053,0.004,-0.006,0.000,-0.004,1.5439
1785820930.091,0.000,WAIT,idle,-1,0,0.003,-0.053,0.004,-0.004,-0.000,-0.004,1.5438
1785820930.191,0.000,WAIT,idle,-1,0,0.002,-0.053,0.003,-0.003,0.001,-0.003,1.5439
