t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786526804.005,6.600,WAIT,FIGURE8 0/30s (2%),2,1,-4.860,20.266,-1.675,-0.058,0.088,0.017,1.6261
1786526804.105,6.700,WAIT,FIGURE8 0/30s (2%),2,1,-4.865,20.268,-1.674,-0.053,0.117,0.020,1.6271
1786526804.205,6.800,WAIT,FIGURE8 0/30s (2%),2,1,-4.872,20.270,-1.673,-0.047,0.093,0.024,1.6277
1786526804.305,6.900,WAIT,FIGURE8 0/30s (2%),2,1,-4.884,20.273,-1.673,-0.064,0.069,0.015,1.6272
1786526804.405,7.000,WAIT,FIGURE8 0/30s (2%),2,1,-4.894,20.273,-1.673,-0.035,0.056,0.016,1.6266
1786526804.505,7.100,WAIT,FIGURE8 0/30s (2%),2,1,-4.904,20.269,-1.672,-0.022,0.083,0.015,1.6263
1786526804.605,7.200,WAIT,FIGURE8 0/30s (2%),2,1,-4.913,20.264,-1.672,-0.030,0.046,0.010,1.6265
1786526804.705,7.300,WAIT,FIGURE8 0/30s (2%),2,1,-4.920,20.261,-1.673,-0.005,0.038,0.011,1.6274
1786526804.805,7.400,WAIT,FIGURE8 0/30s (2%),2,1,-4.926,20.255,-1.674,-0.000,0.041,-0.002,1.6288
1786526804.905,7.500,WAIT,FIGURE8 0/30s (2%),2,1,-4.933,20.249,-1.675,-0.007,0.061,0.010,1.6308
1786526805.005,7.600,WAIT,FIGURE8 0/30s (2%),2,1,-4.939,20.244,-1.677,0.036,0.037,0.004,1.6320
1786526805.105,7.700,WAIT,FIGURE8 0/30s (2%),2,1,-4.943,20.238,-1.678,0.049,0.069,0.013,1.6340
1786526805.205,7.800,WAIT,FIGURE8 0/30s (2%),2,1,-4.945,20.234,-1.679,0.056,0.053,0.012,1.6341
1786526805.305,7.900,WAIT,FIGURE8 0/30s (2%),2,1,-4.946,20.230,-1.681,0.053,0.041,0.002,1.6348
1786526805.405,8.000,WAIT,FIGURE8 0/30s (2%),2,1,-4.945,20.226,-1.682,0.046,0.020,0.000,1.6342
1786526805.505,8.100,WAIT,FIGURE8 0/30s (2%),2,1,-4.945,20.222,-1.683,0.058,0.041,0.016,1.6334
1786526805.605,8.200,WAIT,FIGURE8 0/30s (2%),2,1,-4.942,20.219,-1.683,0.071,0.076,0.021,1.6324
1786526805.705,8.300,WAIT,FIGURE8 0/30s (2%),2,1,-4.940,20.220,-1.683,0.097,0.050,0.016,1.6328
1786526805.805,8.400,WAIT,FIGURE8 0/30s (2%),2,1,-4.935,20.221,-1.682,0.107,0.042,0.024,1.6319
1786526805.905,8.500,WAIT,FIGURE8 0/30s (2%),2,1,-4.934,20.221,-1.681,0.083,0.124,0.022,1.6309
1786526806.005,8.600,WAIT,FIGURE8 0/30s (2%),2,1,-4.932,20.224,-1.681,0.051,0.065,0.015,1.6308
1786526806.105,8.700,WAIT,FIGURE8 0/30s (2%),2,1,-4.930,20.228,-1.681,0.077,0.073,0.020,1.6296
1786526806.205,8.800,WAIT,FIGURE8 0/30s (2%),2,1,-4.930,20.230,-1.680,0.055,0.078,0.020,1.6305
1786526806.305,8.900,WAIT,FIGURE8 0/30s (2%),2,1,-4.928,20.233,-1.680,0.080,0.095,0.015,1.6309
1786526806.405,9.000,WAIT,FIGURE8 0/30s (2%),2,1,-4.924,20.236,-1.680,0.055,0.074,0.017,1.6304
1786526806.505,9.100,WAIT,FIGURE8 0/30s (2%),2,1,-4.921,20.237,-1.679,0.061,0.069,0.013,1.6305
1786526806.605,9.200,WAIT,FIGURE8 0/30s (2%),2,1,-4.916,20.238,-1.678,0.036,0.050,0.014,1.6287
1786526806.705,9.300,WAIT,FIGURE8 0/30s (2%),2,1,-4.911,20.240,-1.679,0.069,0.044,0.018,1.6282
1786526806.805,9.400,WAIT,FIGURE8 0/30s (2%),2,1,-4.907,20.241,-1.679,0.066,0.075,0.016,1.6294
1786526806.905,9.500,WAIT,FIGURE8 0/30s (2%),2,1,-4.901,20.242,-1.678,0.077,0.063,0.013,1.6291
1786526807.005,9.600,WAIT,FIGURE8 0/30s (2%),2,1,-4.895,20.246,-1.678,0.050,0.072,0.019,1.6291
1786526807.105,9.700,WAIT,FIGURE8 0/30s (2%),2,1,-4.890,20.251,-1.677,0.079,0.062,0.026,1.6297
1786526807.205,9.800,WAIT,FIGURE8 0/30s (2%),2,1,-4.884,20.254,-1.677,0.044,0.052,0.022,1.6309
1786526807.305,9.900,WAIT,FIGURE8 0/30s (2%),2,1,-4.877,20.257,-1.676,0.043,0.030,0.030,1.6313
1786526807.405,10.000,WAIT,FIGURE8 0/30s (2%),2,1,-4.870,20.259,-1.676,0.046,0.034,0.032,1.6313
1786526807.505,10.100,WAIT,FIGURE8 0/30s (2%),2,1,-4.863,20.260,-1.675,0.069,0.056,0.029,1.6316
1786526807.605,10.200,WAIT,FIGURE8 0/30s (2%),2,1,-4.857,20.263,-1.674,0.051,0.035,0.027,1.6309
1786526807.705,10.300,WAIT,FIGURE8 0/30s (2%),2,1,-4.850,20.264,-1.673,0.042,0.011,0.028,1.6303
1786526807.805,10.400,WAIT,FIGURE8 0/30s (2%),2,1,-4.844,20.266,-1.672,0.057,0.066,0.026,1.6300
1786526807.905,10.500,WAIT,FIGURE8 0/30s (2%),2,1,-4.837,20.267,-1.671,0.059,0.064,0.023,1.6309
1786526808.005,10.600,WAIT,FIGURE8 0/30s (2%),2,1,-4.830,20.267,-1.671,0.011,0.026,0.010,1.6315
1786526808.105,10.700,WAIT,FIGURE8 0/30s (2%),2,1,-4.826,20.267,-1.671,0.002,0.023,0.019,1.6316
1786526808.205,10.800,WAIT,FIGURE8 0/30s (2%),2,1,-4.823,20.270,-1.672,0.036,0.028,0.011,1.6316
1786526808.305,10.900,WAIT,FIGURE8 0/30s (2%),2,1,-4.822,20.272,-1.672,0.012,0.060,0.005,1.6315
1786526808.405,11.000,WAIT,FIGURE8 0/30s (2%),2,1,-4.820,20.272,-1.673,-0.001,0.059,0.012,1.6325
1786526808.505,11.100,WAIT,FIGURE8 0/30s (2%),2,1,-4.818,20.273,-1.673,-0.024,0.036,0.003,1.6338
1786526808.605,11.200,WAIT,FIGURE8 0/30s (2%),2,1,-4.815,20.276,-1.674,-0.003,0.052,0.014,1.6338
1786526808.705,11.300,WAIT,FIGURE8 0/30s (2%),2,1,-4.812,20.280,-1.674,0.002,0.005,0.012,1.6333
1786526808.805,11.400,WAIT,FIGURE8 0/30s (2%),2,1,-4.810,20.281,-1.675,-0.025,0.012,0.019,1.6338
1786526808.905,11.500,WAIT,FIGURE8 0/30s (2%),2,1,-4.809,20.282,-1.674,-0.003,0.001,0.018,1.6336
1786526809.005,11.600,WAIT,FIGURE8 0/30s (2%),2,1,-4.810,20.283,-1.674,-0.036,-0.008,0.013,1.6334
1786526809.105,11.700,WAIT,FIGURE8 0/30s (2%),2,1,-4.813,20.285,-1.674,-0.016,0.028,0.018,1.6325
1786526809.205,11.800,WAIT,FIGURE8 0/30s (2%),2,1,-4.816,20.282,-1.674,-0.050,-0.033,0.022,1.6307
1786526809.305,11.900,WAIT,FIGURE8 0/30s (2%),2,1,-4.823,20.280,-1.674,-0.017,0.020,0.021,1.6289
1786526809.405,12.000,WAIT,FIGURE8 0/30s (2%),2,1,-4.829,20.278,-1.674,-0.036,0.000,0.010,1.6288
1786526809.505,12.100,WAIT,FIGURE8 0/30s (2%),2,1,-4.835,20.275,-1.675,-0.033,-0.034,0.014,1.6284
1786526809.605,12.200,WAIT,FIGURE8 0/30s (2%),2,1,-4.843,20.269,-1.675,-0.045,-0.001,0.014,1.6279
1786526809.705,12.300,WAIT,FIGURE8 0/30s (2%),2,1,-4.849,20.266,-1.675,-0.041,0.019,0.010,1.6291
1786526809.805,12.400,WAIT,FIGURE8 0/30s (2%),2,1,-4.854,20.263,-1.675,-0.045,-0.033,0.005,1.6296
1786526809.905,12.500,WAIT,FIGURE8 0/30s (2%),2,1,-4.857,20.264,-1.676,-0.014,-0.003,0.009,1.6283
1786526810.005,12.600,WAIT,FIGURE8 0/30s (2%),2,1,-4.858,20.265,-1.675,-0.022,0.038,0.020,1.6280
1786526810.105,12.700,WAIT,FIGURE8 0/30s (2%),2,1,-4.859,20.268,-1.675,-0.031,0.021,0.019,1.6287
1786526810.205,12.800,WAIT,FIGURE8 0/30s (2%),2,1,-4.857,20.273,-1.675,-0.010,0.051,0.020,1.6293
1786526810.305,12.900,WAIT,FIGURE8 0/30s (2%),2,1,-4.854,20.280,-1.675,-0.005,0.001,0.028,1.6309
1786526810.405,13.000,WAIT,FIGURE8 0/30s (2%),2,1,-4.851,20.288,-1.675,-0.016,0.019,0.015,1.6315
1786526810.505,13.100,WAIT,FIGURE8 0/30s (2%),2,1,-4.848,20.293,-1.675,-0.011,-0.000,0.015,1.6313
1786526810.605,13.200,WAIT,FIGURE8 0/30s (2%),2,1,-4.845,20.299,-1.675,0.011,0.014,0.019,1.6309
1786526810.705,13.300,WAIT,FIGURE8 0/30s (2%),2,1,-4.839,20.304,-1.674,-0.012,0.024,0.032,1.6319
1786526810.805,13.400,WAIT,FIGURE8 0/30s (2%),2,1,-4.836,20.309,-1.673,-0.008,0.025,0.025,1.6326
1786526810.905,13.500,WAIT,FIGURE8 0/30s (2%),2,1,-4.834,20.315,-1.673,-0.008,0.007,0.025,1.6326
1786526811.005,13.600,WAIT,FIGURE8 0/30s (2%),2,1,-4.833,20.320,-1.672,-0.012,0.013,0.022,1.6330
1786526811.105,13.700,WAIT,FIGURE8 0/30s (2%),2,1,-4.829,20.326,-1.671,0.022,0.003,0.026,1.6341
1786526811.205,13.800,WAIT,FIGURE8 0/30s (2%),2,1,-4.827,20.333,-1.671,-0.005,0.022,0.031,1.6336
1786526811.305,13.900,WAIT,FIGURE8 0/30s (2%),2,1,-4.825,20.340,-1.670,-0.008,0.039,0.036,1.6322
1786526811.405,14.000,WAIT,FIGURE8 0/30s (2%),2,1,-4.824,20.344,-1.669,-0.019,-0.029,0.023,1.6316
1786526811.506,0.001,ENGAGED,FIGURE8 0/30s (2%),14,1,-4.824,20.348,-1.668,-0.014,-0.016,0.026,1.6306
1786526811.606,0.101,ENGAGED,SETTLE 0/4s,14,1,-4.824,20.353,-1.667,-0.016,-0.039,0.018,1.6298
1786526811.705,0.200,ENGAGED,SETTLE 0/4s,14,1,-4.826,20.357,-1.668,-0.005,0.001,0.018,1.6299
1786526811.805,0.300,ENGAGED,SETTLE 0/4s,14,1,-4.830,20.363,-1.669,-0.051,-0.050,0.009,1.6308
1786526811.905,0.400,ENGAGED,SETTLE 0/4s,14,1,-4.838,20.369,-1.670,-0.045,0.000,0.015,1.6319
1786526812.005,0.500,ENGAGED,SETTLE 0/4s,14,1,-4.846,20.372,-1.671,-0.038,-0.015,0.012,1.6321
1786526812.106,0.601,ENGAGED,SETTLE 1/4s,14,1,-4.849,20.375,-1.672,-0.020,0.003,0.004,1.6313
1786526812.205,0.700,ENGAGED,SETTLE 1/4s,14,1,-4.852,20.377,-1.674,-0.011,-0.002,0.016,1.6305
1786526812.305,0.800,ENGAGED,SETTLE 1/4s,14,1,-4.853,20.378,-1.676,-0.014,-0.050,-0.005,1.6297
1786526812.405,0.900,ENGAGED,SETTLE 1/4s,14,1,-4.851,20.380,-1.678,0.006,0.006,0.009,1.6304
1786526812.505,1.000,ENGAGED,SETTLE 1/4s,14,1,-4.849,20.383,-1.679,0.047,0.020,0.009,1.6320
1786526812.605,1.100,ENGAGED,SETTLE 1/4s,14,1,-4.847,20.387,-1.680,0.000,-0.032,0.010,1.6310
1786526812.705,1.200,ENGAGED,SETTLE 1/4s,14,1,-4.846,20.390,-1.681,0.033,0.002,0.021,1.6284
1786526812.805,1.300,ENGAGED,SETTLE 1/4s,14,1,-4.849,20.393,-1.681,-0.014,-0.041,0.005,1.6262
1786526812.905,1.400,ENGAGED,SETTLE 1/4s,14,1,-4.853,20.397,-1.682,0.010,-0.001,0.004,1.6257
1786526813.005,1.500,ENGAGED,SETTLE 1/4s,14,1,-4.857,20.400,-1.682,-0.014,-0.042,0.011,1.6252
1786526813.106,1.601,ENGAGED,SETTLE 2/4s,14,1,-4.861,20.406,-1.682,0.004,0.023,0.023,1.6253
1786526813.205,1.700,ENGAGED,SETTLE 2/4s,14,1,-4.864,20.410,-1.681,0.005,-0.042,0.017,1.6262
1786526813.305,1.800,ENGAGED,SETTLE 2/4s,14,1,-4.866,20.412,-1.681,0.014,-0.007,0.015,1.6269
