t,nav,armed,sp_x,sp_y,sp_alt,x,y,alt,eph,epv,xy_valid,z_valid,rst_xy,rst_z
28.204,2,1,nan,nan,nan,9.4952,-0.2204,6.5377,0.172,0.034,1,1,3,2
28.303,2,1,nan,nan,nan,9.4945,-0.2140,6.5321,0.177,0.034,1,1,3,2
28.407,2,1,nan,nan,nan,9.5109,-0.1730,6.5101,0.170,0.034,1,1,3,2
28.506,2,1,nan,nan,nan,9.5135,-0.1696,6.5091,0.172,0.034,1,1,3,2
28.601,2,1,nan,nan,nan,9.5135,-0.1696,6.5091,0.172,0.034,1,1,3,2
28.709,2,1,nan,nan,nan,9.5365,-0.1382,6.4955,0.178,0.035,1,1,3,2
28.805,2,1,nan,nan,nan,9.5499,-0.1306,6.4877,0.173,0.034,1,1,3,2
28.901,2,1,nan,nan,nan,9.5611,-0.1307,6.4854,0.173,0.035,1,1,3,2
29.000,2,1,nan,nan,nan,9.5650,-0.1308,6.4837,0.171,0.034,1,1,3,2
29.103,2,1,nan,nan,nan,9.5653,-0.1303,6.4832,0.172,0.034,1,1,3,2
29.209,2,1,nan,nan,nan,9.5653,-0.1303,6.4832,0.172,0.034,1,1,3,2
29.304,2,1,nan,nan,nan,9.5653,-0.1303,6.4832,0.172,0.034,1,1,3,2
29.403,2,1,nan,nan,nan,9.5676,-0.1420,6.4750,0.171,0.035,1,1,3,2
29.501,2,1,nan,nan,nan,9.5677,-0.1477,6.4740,0.168,0.034,1,1,3,2
29.601,2,1,nan,nan,nan,9.5681,-0.1516,6.4712,0.171,0.035,1,1,3,2
29.704,2,1,nan,nan,nan,9.5653,-0.1651,6.4563,0.174,0.035,1,1,3,2
29.800,2,1,nan,nan,nan,9.5630,-0.1698,6.4484,0.179,0.035,1,1,3,2
29.911,2,1,nan,nan,nan,9.5610,-0.1717,6.4416,0.174,0.035,1,1,3,2
30.005,2,1,nan,nan,nan,9.5610,-0.1717,6.4416,0.174,0.035,1,1,3,2
30.100,2,1,nan,nan,nan,9.5610,-0.1717,6.4416,0.174,0.035,1,1,3,2
30.205,2,1,nan,nan,nan,9.5615,-0.1751,6.4353,0.176,0.035,1,1,3,2
30.310,2,1,nan,nan,nan,9.5615,-0.1751,6.4353,0.176,0.035,1,1,3,2
30.405,2,1,nan,nan,nan,9.5615,-0.1751,6.4353,0.176,0.035,1,1,3,2
30.501,2,1,nan,nan,nan,9.5615,-0.1789,6.4258,0.179,0.035,1,1,3,2
30.607,2,1,nan,nan,nan,9.5616,-0.1822,6.4146,0.174,0.035,1,1,3,2
30.708,2,1,nan,nan,nan,9.5596,-0.1881,6.3961,0.172,0.035,1,1,3,2
30.803,2,1,nan,nan,nan,9.5592,-0.1894,6.3926,0.173,0.035,1,1,3,2
30.901,2,1,nan,nan,nan,9.5588,-0.1965,6.3591,0.176,0.035,1,1,3,2
31.007,2,1,nan,nan,nan,9.5588,-0.1965,6.3591,0.176,0.035,1,1,3,2
31.102,2,1,nan,nan,nan,9.5588,-0.1965,6.3591,0.176,0.035,1,1,3,2
31.209,2,1,nan,nan,nan,9.5565,-0.2027,6.3346,0.177,0.035,1,1,3,2
31.304,2,1,nan,nan,nan,9.5565,-0.2027,6.3346,0.177,0.035,1,1,3,2
31.410,2,1,nan,nan,nan,9.5565,-0.2027,6.3346,0.177,0.035,1,1,3,2
31.500,2,1,nan,nan,nan,9.5467,-0.2101,6.3059,0.178,0.035,1,1,3,2
31.604,2,1,nan,nan,nan,9.5288,-0.2153,6.2637,0.173,0.035,1,1,3,2
31.700,2,1,nan,nan,nan,9.5126,-0.2182,6.2196,0.173,0.035,1,1,3,2
31.810,2,1,nan,nan,nan,9.4975,-0.2215,6.1671,0.168,0.035,1,1,3,2
31.903,2,1,nan,nan,nan,9.4919,-0.2234,6.1355,0.173,0.034,1,1,3,2
32.004,2,1,nan,nan,nan,9.4896,-0.2220,6.1157,0.169,0.035,1,1,3,2
32.105,2,1,nan,nan,nan,9.4870,-0.2214,6.0922,0.172,0.034,1,1,3,2
32.202,2,1,nan,nan,nan,9.4829,-0.2195,6.0474,0.173,0.034,1,1,3,2
32.307,2,1,nan,nan,nan,9.4829,-0.2195,6.0474,0.173,0.034,1,1,3,2
32.405,2,1,nan,nan,nan,9.4814,-0.2183,6.0293,0.169,0.034,1,1,3,2
32.505,2,1,nan,nan,nan,9.4758,-0.2084,5.9780,0.171,0.034,1,1,3,2
32.610,2,1,nan,nan,nan,9.4758,-0.2084,5.9780,0.171,0.034,1,1,3,2
32.700,2,1,nan,nan,nan,9.4678,-0.1937,5.9196,0.177,0.034,1,1,3,2
32.802,2,1,nan,nan,nan,9.4673,-0.2014,5.8887,0.171,0.034,1,1,3,2
32.902,2,1,nan,nan,nan,9.4616,-0.2149,5.8507,0.173,0.034,1,1,3,2
33.003,2,1,nan,nan,nan,9.4532,-0.2259,5.7883,0.171,0.033,1,1,3,2
33.101,2,1,nan,nan,nan,9.4499,-0.2270,5.7481,0.177,0.033,1,1,3,2
33.210,2,1,nan,nan,nan,9.4496,-0.2271,5.7447,0.177,0.033,1,1,3,2
33.302,2,1,nan,nan,nan,9.4400,-0.2330,5.6439,0.179,0.034,1,1,3,2
33.409,2,1,nan,nan,nan,9.4435,-0.2223,5.5853,0.173,0.034,1,1,3,2
33.501,2,1,nan,nan,nan,9.4512,-0.2068,5.5424,0.173,0.033,1,1,3,2
33.609,2,1,nan,nan,nan,9.4669,-0.1787,5.4734,0.169,0.032,1,1,3,2
33.704,2,1,nan,nan,nan,9.4669,-0.1787,5.4734,0.169,0.032,1,1,3,2
33.803,2,1,nan,nan,nan,9.4720,-0.1736,5.4527,0.171,0.032,1,1,3,2
33.906,2,1,nan,nan,nan,9.5119,-0.1688,5.3278,0.169,0.032,1,1,3,2
34.009,2,1,nan,nan,nan,9.5225,-0.1731,5.3001,0.167,0.032,1,1,3,2
34.101,2,1,nan,nan,nan,9.5293,-0.1750,5.2766,0.171,0.032,1,1,3,2
34.210,2,1,nan,nan,nan,9.5347,-0.1723,5.2588,0.170,0.032,1,1,3,2
34.307,2,1,nan,nan,nan,9.5426,-0.1707,5.2439,0.168,0.031,1,1,3,2
34.409,2,1,nan,nan,nan,9.5468,-0.1651,5.2265,0.167,0.031,1,1,3,2
34.505,2,1,nan,nan,nan,9.5480,-0.1557,5.2065,0.165,0.031,1,1,3,2
34.602,2,1,nan,nan,nan,9.5460,-0.1459,5.1881,0.168,0.031,1,1,3,2
34.708,2,1,nan,nan,nan,9.5416,-0.1306,5.1646,0.167,0.031,1,1,3,2
34.806,2,1,nan,nan,nan,9.5363,-0.1179,5.1468,0.172,0.031,1,1,3,2
34.908,2,1,nan,nan,nan,9.5314,-0.1061,5.1324,0.168,0.031,1,1,3,2
35.006,2,1,nan,nan,nan,9.5266,-0.0843,5.1084,0.168,0.031,1,1,3,2
35.109,2,1,nan,nan,nan,9.5227,-0.0716,5.0952,0.165,0.031,1,1,3,2
35.201,2,1,nan,nan,nan,9.5229,-0.0704,5.0937,0.165,0.031,1,1,3,2
35.307,2,1,nan,nan,nan,9.5229,-0.0704,5.0937,0.165,0.031,1,1,3,2
35.402,2,1,nan,nan,nan,9.5229,-0.0704,5.0937,0.165,0.031,1,1,3,2
35.507,2,1,nan,nan,nan,9.5099,-0.0363,5.0211,0.163,0.031,1,1,3,2
35.606,2,1,nan,nan,nan,9.5055,-0.0344,4.9964,0.168,0.030,1,1,3,2
35.711,2,1,nan,nan,nan,9.5026,-0.0351,4.9772,0.166,0.030,1,1,3,2
35.802,2,1,nan,nan,nan,9.4977,-0.0384,4.9553,0.170,0.030,1,1,3,2
35.908,2,1,nan,nan,nan,9.4948,-0.0450,4.9373,0.168,0.030,1,1,3,2
36.005,2,1,nan,nan,nan,9.4949,-0.0512,4.9185,0.165,0.030,1,1,3,2
36.105,2,1,nan,nan,nan,9.4964,-0.0556,4.8989,0.169,0.030,1,1,3,2
36.207,2,1,nan,nan,nan,9.4973,-0.0577,4.8800,0.167,0.030,1,1,3,2
36.302,2,1,nan,nan,nan,9.4994,-0.0570,4.8661,0.164,0.030,1,1,3,2
36.401,2,1,nan,nan,nan,9.5046,-0.0583,4.8427,0.163,0.030,1,1,3,2
36.510,2,1,nan,nan,nan,9.5064,-0.0583,4.8196,0.162,0.030,1,1,3,2
36.603,2,1,nan,nan,nan,9.5047,-0.0563,4.7994,0.166,0.030,1,1,3,2
36.710,2,1,nan,nan,nan,9.5057,-0.0545,4.7793,0.164,0.030,1,1,3,2
36.806,2,1,nan,nan,nan,9.5057,-0.0530,4.7583,0.168,0.030,1,1,3,2
36.907,2,1,nan,nan,nan,9.5038,-0.0536,4.7384,0.166,0.030,1,1,3,2
37.009,2,1,nan,nan,nan,9.5042,-0.0537,4.7189,0.164,0.030,1,1,3,2
37.107,2,1,nan,nan,nan,9.5070,-0.0554,4.7025,0.163,0.029,1,1,3,2
37.206,2,1,nan,nan,nan,9.5082,-0.0596,4.6871,0.166,0.030,1,1,3,2
37.310,2,1,nan,nan,nan,9.5107,-0.0637,4.6706,0.164,0.030,1,1,3,2
37.404,2,1,nan,nan,nan,9.5118,-0.0684,4.6548,0.163,0.030,1,1,3,2
37.508,2,1,nan,nan,nan,9.5149,-0.0745,4.6399,0.161,0.029,1,1,3,2
37.606,2,1,nan,nan,nan,9.5179,-0.0779,4.6236,0.165,0.030,1,1,3,2
37.701,2,1,nan,nan,nan,9.5185,-0.0793,4.6047,0.162,0.030,1,1,3,2
37.804,2,1,nan,nan,nan,9.5204,-0.0818,4.5915,0.165,0.030,1,1,3,2
37.909,2,1,nan,nan,nan,9.5225,-0.0878,4.5735,0.164,0.029,1,1,3,2
38.007,2,1,nan,nan,nan,9.5241,-0.0946,4.5544,0.162,0.029,1,1,3,2
